Perovskite,A1,A2,A3,B1,B2,X1,X2,X3,Mean_Bg
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.6,0,2.4,1.61
MAFACsPbSnBrClI,0,0,1,1,0,1.5,1.5,0,2.49
MAFACsPbSnBrClI,0.72,0.15,0.13,1,0,0.501,0,2.499,1.63
MAFACsPbSnBrClI,0.75,0.15,0.1,0.75,0.25,0.501,0,2.499,1.36
MAFACsPbSnBrClI,0.8,0,0.2,0.25,0.75,0,0,3,1.2
MAFACsPbSnBrClI,0.37,0.6,0.03,1,0,0.024,0,2.976,1.6
MAFACsPbSnBrClI,0,1,0,0.75,0.25,1.8,0,1.2,1.73
MAFACsPbSnBrClI,0.66,0.34,0,1,0,0.42,0,2.58,1.62
MAFACsPbSnBrClI,0.78,0.16,0.06,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0,1,0,1,0,0.075,0,2.925,1.613
MAFACsPbSnBrClI,0.73,0.2,0.07,1,0,0.471,0,2.529,1.6
MAFACsPbSnBrClI,0.83,0,0.17,0.8,0.2,0,0,3,1.35
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.6,0,2.4,1.48
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.12,0,2.88,1.6
MAFACsPbSnBrClI,0.8,0.15,0.05,1,0,0.45,0,2.55,1.606
MAFACsPbSnBrClI,0.82,0.18,0,1,0,0.531,0,2.46,1.64
MAFACsPbSnBrClI,0.45,0.5,0.05,0.5,0.5,0,0,3,1.26
MAFACsPbSnBrClI,0.57,0.38,0.05,1,0,0,0,3,1.54
MAFACsPbSnBrClI,0,0,1,1,0,2.4,0.6,0,2.33
MAFACsPbSnBrClI,0.8075,0.1425,0.05,1,0,0.45,0,2.55,1.616
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0.6,0.2,0.2,1,0,0.768,0,2.232,1.7
MAFACsPbSnBrClI,0,0,1,0.6,0.4,0,0,3,1.38
MAFACsPbSnBrClI,0.17,0.83,0,1,0,3,0,0,2.296
MAFACsPbSnBrClI,0.6,0.2,0.2,1,0,0.285,0,2.715,1.64
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.768,0,2.232,1.71
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,1.5,0,1.5,1.85
MAFACsPbSnBrClI,0,1,0,1,0,1.8,0,1.2,1.92
MAFACsPbSnBrClI,0,0.98,0.02,1,0,0.06,0,2.94,1.6
MAFACsPbSnBrClI,0.33,0.67,0,1,0,2.001,0,0.999,1.974
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.65
MAFACsPbSnBrClI,0,1,0,1,0,1.77,0,1.23,1.96
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,0.78,0.14,0.08,1,0,0.42,0,2.58,1.61
MAFACsPbSnBrClI,0.2,0.6,0.2,1,0,0,0,3,1.634
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.099,0,2.901,1.55
MAFACsPbSnBrClI,1,0,0,1,0,0.6,0,2.4,1.57
MAFACsPbSnBrClI,0.5,0.5,0,0.5,0.5,0,0,3,1.254
MAFACsPbSnBrClI,0,1,0,0.4,0.6,0.9,0,2.1,1.25
MAFACsPbSnBrClI,0,0.89,0.11,1,0,0,0,3,1.62
MAFACsPbSnBrClI,0.3,0.7,0,1,0,2.1,0,0.9,2.03
MAFACsPbSnBrClI,0.79,0.16,0.05,0.75,0.25,0.501,0,2.499,1.34
MAFACsPbSnBrClI,0.6,0.4,0,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0,0.77,0.23,1,0,0,0,3,1.644
MAFACsPbSnBrClI,0,1,0,1,0,0.075,0,2.976,1.6
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.45,0,2.55,1.63
MAFACsPbSnBrClI,0,1,0,1,0,0.069,0,2.931,1.61
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0.285,0,2.715,1.63
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.9,0,2.1,1.72
MAFACsPbSnBrClI,0,1,0,0.25,0.75,1.2,0,1.8,1.34
MAFACsPbSnBrClI,0.38,0.57,0.05,1,0,0.201,0,2.799,1.57
MAFACsPbSnBrClI,0.95,0,0.05,1,0,0.15,0,2.85,1.538
MAFACsPbSnBrClI,0.79,0.16,0.05,0.916,0.084,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0,1,0,0.75,0.25,1.2,0,1.8,1.59
MAFACsPbSnBrClI,0,1,0,1,0,0.36,0,2.64,1.62
MAFACsPbSnBrClI,0.8,0,0.2,0,1,0,0,3,1.2
MAFACsPbSnBrClI,0,0.99,0.01,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0,0.83,0.17,1,0,0,0,3,1.633
MAFACsPbSnBrClI,0.83,0,0.17,0.98,0.02,0,0,3,1.51
MAFACsPbSnBrClI,0,1,0,1,0,0.99,2.01,0,2.81
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.03,0,2.97,1.581
MAFACsPbSnBrClI,0,1,0,1,0,0.6,0,2.4,1.62
MAFACsPbSnBrClI,0.87,0,0.13,1,0,0.999,0,2.001,1.72
MAFACsPbSnBrClI,0,0.91,0.09,1,0,0,0,3,1.59
MAFACsPbSnBrClI,0,1,0,0.5,0.5,0.6,0,2.4,1.35
MAFACsPbSnBrClI,0.83,0.17,0,1,0,2.001,0,0.999,1.976
MAFACsPbSnBrClI,0.84,0.16,0,1,0,0.501,0,2.499,1.65
MAFACsPbSnBrClI,0,0,1,0,1,0,3,0,2.8
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.42,0,2.58,1.59
MAFACsPbSnBrClI,0,1,0,0.25,0.75,0,0,3,1.24
MAFACsPbSnBrClI,0,1,0,1,0,1.14,0,1.86,1.777
MAFACsPbSnBrClI,0,1,0,1,0,0.249,0,2.751,1.65
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0,0,3,1.544
MAFACsPbSnBrClI,0,0,1,0,1,2.001,0,0.999,1.64
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.3,0,2.7,1.59
MAFACsPbSnBrClI,0.475,0.5,0.025,0.5,0.5,0,0,3,1.27
MAFACsPbSnBrClI,0.83,0.12,0.05,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.616
MAFACsPbSnBrClI,0.94,0.01,0.05,1,0,0.03,0,2.97,1.55
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.39,0,2.61,1.6
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.45,0,2.55,1.63
MAFACsPbSnBrClI,0,0,1,1,0,0.309,0,2.691,1.75
MAFACsPbSnBrClI,0.71,0.29,0,1,0,0.42,0,2.58,1.62
MAFACsPbSnBrClI,0.33,0.67,0,1,0,0,0,3,1.56
MAFACsPbSnBrClI,0.976,0.024,0,1,0,0.075,0,2.925,1.54
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,0.79,0.14,0.07,1,0,0.45,0,2.55,1.55
MAFACsPbSnBrClI,0.6,0,0.4,1,0,0.9,0,2.1,1.76
MAFACsPbSnBrClI,0,1,0,0.8,0.2,0,0,3,1.5
MAFACsPbSnBrClI,0,0.95,0.05,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.747,0.153,0.1,1,0,0.51,0,2.49,1.73
MAFACsPbSnBrClI,0,1,0,1,0,0.051,0,2.949,1.58
MAFACsPbSnBrClI,0.83,0,0.17,0.99,0.01,0,0,3,1.52
MAFACsPbSnBrClI,0.79,0.15,0.06,1,0,0.45,0,2.55,1.64
MAFACsPbSnBrClI,0,0,1,1,0,0.09,0,2.91,1.77
MAFACsPbSnBrClI,0.71,0.14,0.15,1,0,0.9,0,2.1,1.7
MAFACsPbSnBrClI,0,0.6,0.4,1,0,0,0,3,1.62
MAFACsPbSnBrClI,0.83,0.17,0,1,0,1.5,0,1.5,1.853
MAFACsPbSnBrClI,0.83,0.17,0,1,0,2.499,0,0.501,2.113
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.15,0,2.85,1.6
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.399,0,2.601,1.61
MAFACsPbSnBrClI,0,0.66,0.34,1,0,0,0,3,1.652
MAFACsPbSnBrClI,0.945,0.025,0.03,1,0,0.075,0,2.925,1.56
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.09,0,2.91,1.54
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0,0,3,1.57
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.589
MAFACsPbSnBrClI,0.8,0,0.2,0.75,0.25,0,0,3,1.35
MAFACsPbSnBrClI,0,1,0,1,0,0.021,0,2.979,1.6
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.45,0,2.55,1.63
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.471,0,2.529,1.59
MAFACsPbSnBrClI,1,0,0,1,0,0,0,3,1.48
MAFACsPbSnBrClI,0,1,0,0.75,0.25,0,0,3,1.24
MAFACsPbSnBrClI,0,0,1,1,0,2.7,0,0.3,2.32
MAFACsPbSnBrClI,0.58,0.33,0.09,1,0,0.651,0,2.349,1.59
MAFACsPbSnBrClI,0,1,0,1,0,0.09,0,2.91,1.6
MAFACsPbSnBrClI,0.78,0.15,0.07,1,0,0.45,0,2.55,1.61
MAFACsPbSnBrClI,0.8,0.15,0.05,1,0,0.45,0,2.55,1.61
MAFACsPbSnBrClI,0.765,0.135,0.1,1,0,0.45,0,2.55,1.611
MAFACsPbSnBrClI,0.83,0,0.17,1,0,1.8,0,1.2,1.93
MAFACsPbSnBrClI,0,1,0,1,0,1.5,0,1.5,1.872
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.33,0,2.67,1.59
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0,0,3,1.512
MAFACsPbSnBrClI,0,0,1,0,1,2.01,0.99,0,1.9
MAFACsPbSnBrClI,0.7,0,0.3,1,0,3,0,0,2.287
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0,0,3,1.549
MAFACsPbSnBrClI,0,1,0,0.875,0.125,0,0,3,1.42
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0.024,0,2.976,1.6
MAFACsPbSnBrClI,0,0.85,0.15,1,0,0.45,0,2.55,1.717
MAFACsPbSnBrClI,0.76,0.14,0.1,1,0,0.51,0,2.49,1.61
MAFACsPbSnBrClI,0.79,0.16,0.05,0.5,0.5,0.501,0,2.499,1.31
MAFACsPbSnBrClI,0,1,0,1,0,0.12,0,2.88,1.6
MAFACsPbSnBrClI,0.17,0.83,0,1,0,2.499,0,0.501,2.153
MAFACsPbSnBrClI,0.54,0.36,0.1,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0,0,1,1,0,0.45,0,2.55,1.84
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.501,0,2.499,1.606
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.45,0,2.55,1.597
MAFACsPbSnBrClI,0,0.9,0.1,1,0,0,0,3,1.54
MAFACsPbSnBrClI,1,0,0,0.5,0.5,0,0,3,1.17
MAFACsPbSnBrClI,0.81,0.09,0.1,1,0,0.099,0,2.901,1.55
MAFACsPbSnBrClI,0.83,0.12,0.05,1,0,0.36,0,2.64,1.61
MAFACsPbSnBrClI,0,0,1,1,0,0.201,0,2.799,1.82
MAFACsPbSnBrClI,0.67,0.33,0,1,0,2.001,0,0.999,1.969
MAFACsPbSnBrClI,0,1,0,0.75,0.25,2.1,0,0.9,1.8
MAFACsPbSnBrClI,0.84,0.16,0,1,0,0.51,0,2.49,1.64
MAFACsPbSnBrClI,0,0.85,0.15,1,0,0,0,3,1.59
MAFACsPbSnBrClI,0.83,0,0.17,0.95,0.05,0,0,3,1.485
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.45,0,2.55,1.535
MAFACsPbSnBrClI,0,0,1,1,0,0.999,0,2.001,1.92
MAFACsPbSnBrClI,0,1,0,1,0,0.15,0,2.85,1.577
MAFACsPbSnBrClI,0.8,0.16,0.04,1,0,0.501,0,2.499,1.61
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0.3,0,2.7,1.354
MAFACsPbSnBrClI,0,1,0,0.75,0.25,3,0,0,2.03
MAFACsPbSnBrClI,0.666,0.0664,0.2668,1,0,0.768,0,2.232,1.71
MAFACsPbSnBrClI,0.75,0.25,0,0,1,0,0,3,1.4
MAFACsPbSnBrClI,0.84,0.16,0,1,0,0.399,0,2.601,1.53
MAFACsPbSnBrClI,0,0,1,1,0,0.21,0,2.79,1.81
MAFACsPbSnBrClI,0,0,1,1,0,0.15,0,2.85,1.736
MAFACsPbSnBrClI,0.33,0.67,0,1,0,0.501,0,2.499,1.671
MAFACsPbSnBrClI,0,1,0,0.4,0.6,1.8,0,1.2,1.29
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.3,0,2.7,1.56
MAFACsPbSnBrClI,0,1,0,1,0,1.5,0,1.5,1.72
MAFACsPbSnBrClI,0,1,0,1,0,0.321,0,2.679,1.64
MAFACsPbSnBrClI,0,1,0,1,0,0.75,0,2.25,1.694
MAFACsPbSnBrClI,0.17,0.83,0,1,0,1.5,0,1.5,1.858
MAFACsPbSnBrClI,0,1,0,0.2,0.8,0,0,3,1.204
MAFACsPbSnBrClI,0.7,0.3,0,1,0,0,0,3,1.582
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0.45,0,2.55,1.625
MAFACsPbSnBrClI,0.1,0.9,0,1,0,0.3,0,2.7,1.586
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.6,0,2.4,1.7
MAFACsPbSnBrClI,0,1,0,1,0,1.86,1.14,0,2.64
MAFACsPbSnBrClI,0.66,0.14,0.2,0.75,0.25,0.501,0,2.499,1.38
MAFACsPbSnBrClI,0.125,0.875,0,1,0,0,0,3,1.55
MAFACsPbSnBrClI,0.78,0.14,0.08,1,0,0.42,0,2.58,1.61
MAFACsPbSnBrClI,0,1,0,1,0,0.099,0,2.901,1.601
MAFACsPbSnBrClI,0.67,0.33,0,1,0,0,0,3,1.528
MAFACsPbSnBrClI,0.83,0.17,0,1,0,2.7,0.3,0,2.27
MAFACsPbSnBrClI,0,1,0,0.75,0.25,0.9,0,2.1,1.53
MAFACsPbSnBrClI,0.6,0,0.4,1,0,1.05,0,1.95,1.8
MAFACsPbSnBrClI,0.733,0.133,0.133,1,0,0.285,0,2.715,1.65
MAFACsPbSnBrClI,0,1,0,1,0,0.81,0,2.19,1.71
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0.12,0,2.88,1.26
MAFACsPbSnBrClI,0.8,0.2,0,1,0,0,0,3,1.412
MAFACsPbSnBrClI,0,1,0,0.8,0.2,0.399,0,2.601,1.26
MAFACsPbSnBrClI,0.75,0.1,0.15,1,0,0.099,0,2.901,1.57
MAFACsPbSnBrClI,0.15,0.85,0,1,0,0,0,3,1.63
MAFACsPbSnBrClI,0,1,0,1,0,2.52,0,0.48,2.154
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,1,0,0,1,0,0.285,0,2.715,1.59
MAFACsPbSnBrClI,1,0,0,0.2,0.8,0,0,3,1.29
MAFACsPbSnBrClI,0,1,0,1,0,0.39,0,2.61,1.641
MAFACsPbSnBrClI,0.875,0,0.125,1,0,0.375,0,2.625,1.581
MAFACsPbSnBrClI,0.7,0.25,0.05,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0.45,0,2.55,1.58
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.285,0,2.715,1.65
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.51,0,2.49,1.6
MAFACsPbSnBrClI,0,1,0,0.4,0.6,1.2,0,1.8,1.26
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0.6,0,2.4,1.616
MAFACsPbSnBrClI,0.66,0.34,0,1,0,0,0,3,1.533
MAFACsPbSnBrClI,0.026,0.974,0,1,0,0,0,3,1.516
MAFACsPbSnBrClI,0,0,1,0,1,0,0,3,1.295
MAFACsPbSnBrClI,1,0,0,1,0,3,0,0,2.23
MAFACsPbSnBrClI,0.1,0.8,0.1,1,0,0,0,3,1.5
MAFACsPbSnBrClI,0.125,0.875,0,1,0,0.999,0,2.001,1.71
MAFACsPbSnBrClI,0.17,0.83,0,1,0,2.001,0,0.999,1.989
MAFACsPbSnBrClI,0.77,0.2,0.03,1,0,0.459,0,2.541,1.5
MAFACsPbSnBrClI,0,1,0,1,0,1.2,0,1.8,1.781
MAFACsPbSnBrClI,0.32,0.48,0.2,1,0,0.201,0,2.799,1.607
MAFACsPbSnBrClI,0.79,0.16,0.05,0.832,0.168,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0,0,3,1.57
MAFACsPbSnBrClI,0,0,1,0,1,0.999,0,2.001,1.37
MAFACsPbSnBrClI,0.8668,0.0664,0.0664,1,0,0.285,0,2.715,1.63
MAFACsPbSnBrClI,0.8,0,0.2,0.3,0.7,0,0,3,1.35
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.171,0,2.829,1.6
MAFACsPbSnBrClI,0,0,1,1,0,1.5,0,1.5,1.9
MAFACsPbSnBrClI,1,0,0,1,0,2.67,0.33,0,2.3
MAFACsPbSnBrClI,0.75,0.2,0.05,1,0,0,0,3,1.52
MAFACsPbSnBrClI,0.83,0,0.17,1,0,1.2,0,1.8,1.75
MAFACsPbSnBrClI,0.83,0,0.17,1,0,1.2,0,1.8,1.74
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.459,0,2.541,1.57
MAFACsPbSnBrClI,0,1,0,1,0,0.9,0,2.1,1.72
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0.15,0,2.85,1.62
MAFACsPbSnBrClI,0,0,1,0,1,0.501,0,2.499,1.375
MAFACsPbSnBrClI,0.7,0.25,0.05,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.44,0.56,0,1,0,0.33,0,2.67,1.62
MAFACsPbSnBrClI,0.33,0.66,0,0.66,0.33,0,0,3,1.3
MAFACsPbSnBrClI,0.5,0.45,0.05,0.5,0.5,0,0,3,1.22
MAFACsPbSnBrClI,0.67,0.33,0,1,0,2.499,0,0.501,2.115
MAFACsPbSnBrClI,1,0,0,1,0,2.499,0,0.501,2.105
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.15,0,2.85,1.587
MAFACsPbSnBrClI,0.75,0.08,0.17,1,0,0.39,0,2.61,1.61
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0,0,3,1.541
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.45,0,2.55,1.614
MAFACsPbSnBrClI,0,0,1,1,0,3,0,0,2.3
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.768,0,2.232,1.7
MAFACsPbSnBrClI,0,1,0,1,0,0.6,2.4,0,2.83
MAFACsPbSnBrClI,0.79,0.16,0.05,0.58,0.42,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0.74,0.16,0.1,1,0,0.51,0,2.49,1.61
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.3,0,2.7,1.603
MAFACsPbSnBrClI,1,0,0,0.5,0.5,0,0,3,1.22
MAFACsPbSnBrClI,0,1,0,1,0,1.26,0,1.74,1.79
MAFACsPbSnBrClI,0.8,0.04,0.16,1,0,1.5,0,1.5,1.82
MAFACsPbSnBrClI,0.17,0.83,0,1,0,0,0,3,1.588
MAFACsPbSnBrClI,0.5,0.38,0.12,1,0,0.96,0,2.04,1.72
MAFACsPbSnBrClI,0,1,0,1,0,0.33,0,2.67,1.627
MAFACsPbSnBrClI,0,0.7,0.3,0.5,0.5,0,0,3,1.28
MAFACsPbSnBrClI,0,0.8,0.2,0.5,0.5,0,0,3,1.3
MAFACsPbSnBrClI,0.8,0.15,0.05,1,0,0.45,0,2.55,1.59
MAFACsPbSnBrClI,0,0.95,0.05,1,0,0,0,3,1.61
MAFACsPbSnBrClI,1,0,0,1,0,0.768,0,2.232,1.7
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0.18,0,2.82,1.272
MAFACsPbSnBrClI,0,1,0,0.75,0.25,2.4,0,0.6,1.9
MAFACsPbSnBrClI,1,0,0,1,0,0,0,3,1.48
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0,0,3,1.512
MAFACsPbSnBrClI,0.5,0.5,0,1,0,2.499,0,0.501,2.141
MAFACsPbSnBrClI,0,0.8,0.2,1,0,0,0,3,1.57
MAFACsPbSnBrClI,0,1,0,0.85,0.15,0,0,3,1.51
MAFACsPbSnBrClI,0.75,0.15,0.1,0,1,0.501,0,2.499,1.44
MAFACsPbSnBrClI,0.38,0.6,0.02,1,0,0.024,0,2.976,1.6
MAFACsPbSnBrClI,1,0,0,0.125,0.875,0,0,3,1.25
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.58
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0,0,3,1.583
MAFACsPbSnBrClI,0.8,0.04,0.16,1,0,1.71,0,1.29,1.89
MAFACsPbSnBrClI,0.81,0.16,0.03,1,0,0.501,0,2.499,1.63
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.9,0,2.1,1.75
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.39,0,2.61,1.59
MAFACsPbSnBrClI,1,0,0,0.625,0.375,0,0,3,1.24
MAFACsPbSnBrClI,0.8,0,0.2,1,0,1.5,0,1.5,1.82
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.562
MAFACsPbSnBrClI,0,1,0,0,1,0,0,3,1.31
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0,0,3,1.535
MAFACsPbSnBrClI,0,0.85,0.15,1,0,1.2,0,1.8,1.82
MAFACsPbSnBrClI,0,0.9,0.1,0.25,0.75,0,0,3,1.27
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.489,0,2.511,1.615
MAFACsPbSnBrClI,0.9,0,0.1,1,0,3,0,0,2.277
MAFACsPbSnBrClI,0.7885,0.1615,0.05,1,0,0.3,0,2.7,1.565
MAFACsPbSnBrClI,0.83,0.07,0.1,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.471,0,2.529,1.61
MAFACsPbSnBrClI,0.93,0,0.07,1,0,0,0,3,1.537
MAFACsPbSnBrClI,0,1,0,1,0,0.45,0,2.55,1.6
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.6,0,2.4,1.694
MAFACsPbSnBrClI,1,0,0,0.9,0.1,0,0,3,1.43
MAFACsPbSnBrClI,0,1,0,1,0,0.399,0,2.601,1.677
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.099,0,2.901,1.562
MAFACsPbSnBrClI,0,1,0,0.3,0.7,0,0,3,1.17
